Country,SiteID,SiteName,RS_Paper,RS_Norm,Rh,Ra_root,HC,RC,Measure_Year,Measure_Month,Latitude,Longitude,Avg_TS,Avg_SWC,StudyNumber,Pm,Tm,MAP,MAT,P_Annual,T_Annual,P_LastMonth,T_LastMonth,MAP_Month,MAT_Month,P_anomaly,T_anomaly,Climate_Koeppon,TopClimateType,IGBP,LAI,AGB,GSOC
Argentina,AR-PES,Pergamino Experimental Station-INTA,95.677,0.956,0.856,0.1,0.895,0.104,1992,7,-33.75,-60.75,8.847,25.148,1017,22.3,7.4,978.526,16.625,769.2,16.47,42.9,12.3,34.56,9.63,-12.26,-2.23,Cfa,C,CRO,0.3,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,121.093,1.21,1.066,0.144,0.881,0.118,1992,8,-33.75,-60.75,12.833,24.143,1017,63.7,11.4,978.526,16.625,769.2,16.47,22.3,7.4,42.36,11.04,21.34,0.36,Cfa,C,CRO,0.4,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,212.148,2.121,1.791,0.329,0.844,0.155,1992,9,-33.75,-60.75,14.667,25.709,1017,52.1,13.7,978.526,16.625,769.2,16.47,63.7,11.4,62.83,13.78,-10.73,-0.08,Cfa,C,CRO,0.5,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,394.006,3.94,2.709,1.23,0.687,0.312,1992,10,-33.75,-60.75,18.037,22.944,1017,80,16.5,978.526,16.625,769.2,16.47,52.1,13.7,97.21,16.56,-17.21,-0.06,Cfa,C,CRO,0.6,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,349.222,3.492,2.033,1.458,0.582,0.417,1992,11,-33.75,-60.75,22.227,25.054,1017,97.1,17.7,978.526,16.625,769.2,16.47,80,16.5,101.98,19.81,-4.88,-2.11,Cfa,C,CRO,0.699,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,304.205,3.042,1.478,1.563,0.486,0.513,1992,12,-33.75,-60.75,21.809,26.617,1017,108.9,21.8,978.526,16.625,769.2,16.47,97.1,17.7,113.73,22.37,-4.83,-0.57,Cfa,C,CRO,0.9,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,522.325,5.223,5.013,0.21,0.959,0.04,1993,1,-33.75,-60.75,28.558,18.717,1017,138.2,24.1,978.526,16.625,1109.4,16.58,108.9,21.8,106.25,23.71,31.95,0.39,Cfa,C,CRO,1.899,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,343.44,3.434,3.303,0.131,0.961,0.038,1993,2,-33.75,-60.75,25.171,19.21,1017,17.6,22,978.526,16.625,1109.4,16.58,138.2,24.1,101.98,22.67,-84.38,-0.67,Cfa,C,CRO,2.6,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,402.873,4.028,3.355,0.673,0.832,0.167,1993,3,-33.75,-60.75,24.138,25.23,1017,65.8,21.8,978.526,16.625,1109.4,16.58,17.6,22,127.47,20.21,-61.67,1.59,Cfa,C,CRO,1.2,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,246.539,2.465,1.485,0.98,0.602,0.397,1993,4,-33.75,-60.75,16.143,25.717,1017,185.1,17.6,978.526,16.625,1109.4,16.58,65.8,21.8,96.62,16.69,88.48,0.91,Cfa,C,CRO,0.3,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,144.889,1.448,0.874,0.574,0.603,0.396,1993,5,-33.75,-60.75,15.93,25.789,1017,132.9,13.2,978.526,16.625,1109.4,16.58,185.1,17.6,61.98,13.06,70.92,0.14,Cfa,C,CRO,0.3,12.795,5
Argentina,AR-PES,Pergamino Experimental Station-INTA,115.748,1.157,0.981,0.176,0.847,0.152,1993,6,-33.75,-60.75,9.573,28.71,1017,84.7,10.3,978.526,16.625,1109.4,16.58,132.9,13.2,31.57,9.97,53.13,0.33,Cfa,C,CRO,0.3,12.795,5
Australia,AU-BSF,Bago State Forest,2.248,2.248,2.092,0.155,0.931,0.068,2001,9,-35.75,148.25,,,4920,86.9,8.4,1206.019,9.839,1049.7,9.83,158.1,3.5,119.69,6.44,-32.79,1.96,Cfb,C,EBF,1.3,38.432,5
Australia,AU-BSF,Bago State Forest,2.273,2.273,2.081,0.191,0.915,0.084,2001,10,-35.75,148.25,,,4920,135.9,7.3,1206.019,9.839,1049.7,9.83,86.9,8.4,117.36,9.53,18.54,-2.23,Cfb,C,EBF,1.2,38.432,5
